iter	Logloss
0	0.6714101373
1	0.6540530768
2	0.6386347807
3	0.6233047552
4	0.614127933
5	0.6013333403
6	0.5896770746
7	0.5784772461
8	0.5685612482
9	0.5602705621
10	0.5527128969
11	0.5468190589
12	0.5422891543
13	0.5368837704
14	0.5324486886
15	0.5273416713
16	0.5256862452
17	0.5215660932
18	0.5169971413
19	0.5144210203
20	0.5117388997
21	0.5101419901
22	0.5072118549
23	0.5038215135
24	0.5013795251
25	0.4993599187
26	0.4981468578
27	0.4962701313
28	0.4940479739
29	0.4923815429
30	0.4906961068
31	0.4893600992
32	0.4882695132
33	0.4867540382
34	0.4852758782
35	0.4842508046
36	0.4828502208
37	0.481794862
38	0.4811778883
39	0.4805090777
40	0.4799907574
41	0.4794350928
42	0.4784305458
43	0.4772513339
44	0.4767298904
45	0.4758271986
46	0.4756298675
47	0.4749961657
48	0.4742153132
49	0.4734813121
50	0.4724736648
51	0.4722948501
52	0.4714427559
53	0.4707034733
54	0.4698634394
55	0.4695179
56	0.4694115292
57	0.4691021275
58	0.4686480069
59	0.4684845164
60	0.4676213947
61	0.4671256032
62	0.4668163572
63	0.4665377296
64	0.4659825052
65	0.4657226431
66	0.4648623904
67	0.4643297801
68	0.4641419184
69	0.4640026565
70	0.463664464
71	0.4630731962
72	0.4625017751
73	0.462012988
74	0.461756823
75	0.4609792123
76	0.4603764535
77	0.4602236749
78	0.4595886706
79	0.4586525362
80	0.4586059364
81	0.4585090537
82	0.4580776943
83	0.4571672988
84	0.4569885808
85	0.4567780686
86	0.456370387
87	0.4557839537
88	0.4554402883
89	0.455378586
90	0.4553169392
91	0.4547823375
92	0.4542165595
93	0.454061057
94	0.453428773
95	0.4533258611
96	0.4530581951
97	0.4530114329
98	0.4529625685
99	0.452653254
100	0.4523850827
101	0.4518875142
102	0.4518875032
103	0.4514838983
104	0.4508279034
105	0.4504923043
106	0.45027109
107	0.4502229957
108	0.4499333834
109	0.4495479203
110	0.4491102316
111	0.4491060282
112	0.4488214125
113	0.4484444697
114	0.4484332779
115	0.448351144
116	0.4482008455
117	0.4477588753
118	0.4475489072
119	0.447166594
120	0.4462154251
121	0.4461490187
122	0.446140665
123	0.4457414876
124	0.4456818956
125	0.445681861
126	0.445403948
127	0.4447996586
128	0.4445978666
129	0.4440888191
130	0.4439510339
131	0.443951005
132	0.4438246574
133	0.4433725967
134	0.4433586809
135	0.4433586798
136	0.4431718584
137	0.4429135691
138	0.4427939555
139	0.4426293314
140	0.4423773691
141	0.4420931597
142	0.4418221068
143	0.4415716618
144	0.4414782773
145	0.4414593675
146	0.4412898298
147	0.4412732322
148	0.4411508564
149	0.4408686375
150	0.4407095002
151	0.4406500984
152	0.440342837
153	0.4400419118
154	0.4400388491
155	0.4400377432
156	0.4399232399
157	0.4397677435
158	0.4397538928
159	0.4395049498
160	0.439383923
161	0.4391586964
162	0.4391371733
163	0.4386984315
164	0.438484521
165	0.4383545647
166	0.4380310208
167	0.4379493462
168	0.4378276824
169	0.4370829491
170	0.4368141196
171	0.4366858589
172	0.4366750337
173	0.4360810306
174	0.4359851041
175	0.4357149137
176	0.4354178392
177	0.4353039885
178	0.4350527933
179	0.4349221127
180	0.4345567745
181	0.4343746595
182	0.434015452
183	0.4339953046
184	0.4336674146
185	0.4332235481
186	0.4327806694
187	0.4325018144
188	0.4321681584
189	0.4318169259
190	0.4315685981
191	0.4313155701
192	0.4309841548
193	0.4306929012
194	0.4301892373
195	0.4300346823
196	0.4297036665
197	0.429111056
198	0.4289608946
199	0.4283388755
200	0.4279079971
201	0.4275706704
202	0.4271231258
203	0.4269965652
204	0.4267897328
205	0.4266904117
206	0.4263293733
207	0.4260667594
208	0.4257591707
209	0.4254852168
210	0.4253104364
211	0.425072299
212	0.4248851231
213	0.4245836084
214	0.4241130189
215	0.4235894949
216	0.4232997593
217	0.4226899462
218	0.4221862531
219	0.4219352113
220	0.4218362333
221	0.4214939215
222	0.4213142632
223	0.4208979907
224	0.420581359
225	0.4201624756
226	0.4198523192
227	0.4193916153
228	0.4191520078
229	0.4189235978
230	0.4186291427
231	0.4184419387
232	0.4182443405
233	0.4175781719
234	0.4172615821
235	0.4170025322
236	0.4163061845
237	0.416218068
238	0.4158175791
239	0.4154293525
240	0.4150221755
241	0.4147101045
242	0.4145967307
243	0.4141452031
244	0.4138624805
245	0.4135630008
246	0.4132219277
247	0.4125639872
248	0.4123563803
249	0.4118876194
250	0.4116722326
251	0.411418226
252	0.4112709803
253	0.4111025626
254	0.4109974914
255	0.4108089265
256	0.4106889783
257	0.4102828401
258	0.4096206915
259	0.409542573
260	0.4089581083
261	0.4084594708
262	0.4081356343
263	0.4078888902
264	0.4076850205
265	0.4074879761
266	0.4072615842
267	0.4068430892
268	0.4067678097
269	0.4065132745
270	0.4061918617
271	0.4058637505
272	0.405505499
273	0.4054254772
274	0.4050461118
275	0.4047926684
276	0.4044216046
277	0.4042927206
278	0.4038534056
279	0.4035413838
280	0.4033803088
281	0.4031677627
282	0.4025959312
283	0.4023209997
284	0.4022171419
285	0.4019741401
286	0.4018740982
287	0.401415735
288	0.4013821777
289	0.4012277795
290	0.4009677368
291	0.4007838061
292	0.4005986983
293	0.4001399363
294	0.3998594906
295	0.3995708715
296	0.3995205302
297	0.3991366384
298	0.3990509821
299	0.3987806559
300	0.3982355172
301	0.3982038807
302	0.3980789191
303	0.3977329379
304	0.3976601752
305	0.3975700585
306	0.3974059223
307	0.3970356298
308	0.3968083989
309	0.3968031848
310	0.3966137551
311	0.3965107064
312	0.3958761238
313	0.3957291156
314	0.395359669
315	0.3952304981
316	0.3948871403
317	0.3945395441
318	0.394514524
319	0.3941981691
320	0.3941264815
321	0.3937531324
322	0.3930785027
323	0.3928496924
324	0.3924608802
325	0.3922259476
326	0.3918160928
327	0.3914724194
328	0.3909930346
329	0.3905725291
330	0.3905342608
331	0.3903854978
332	0.390305095
333	0.3901671547
334	0.3900311853
335	0.3898454797
336	0.3893982532
337	0.3892488984
338	0.388717274
339	0.3884564811
340	0.3883846768
341	0.3883366437
342	0.387999764
343	0.3878606647
344	0.3876426659
345	0.3875615964
346	0.3874129375
347	0.3873609507
348	0.3872612595
349	0.3870809789
350	0.3869833392
351	0.3863514887
352	0.3861797495
353	0.3859540953
354	0.3856453516
355	0.3853455753
356	0.3851922606
357	0.3851123261
358	0.3849940651
359	0.3846749197
360	0.3846316251
361	0.3842641024
362	0.3839919965
363	0.383770601
364	0.3832270014
365	0.3831593862
366	0.3828272893
367	0.382575405
368	0.3823415225
369	0.3820951634
370	0.3819580078
371	0.3818028765
372	0.3817506687
373	0.3815288387
374	0.3814257726
375	0.3811307987
376	0.3808197003
377	0.3805404016
378	0.3804629676
379	0.3801552287
380	0.38001591
381	0.3798746692
382	0.3797830952
383	0.3793975069
384	0.3792010579
385	0.3789288623
386	0.378869657
387	0.3787783096
388	0.3786327983
389	0.3785596041
390	0.3783761313
391	0.3778708238
392	0.3776988052
393	0.3774869228
394	0.3771946935
395	0.3770007335
396	0.3768000203
397	0.3765812443
398	0.3765134878
399	0.3761058993
400	0.3759475141
401	0.3757787712
402	0.3753169353
403	0.3751472988
404	0.3748563444
405	0.374551571
406	0.3743131392
407	0.3741069789
408	0.3738126997
409	0.3737096304
410	0.3735196941
411	0.3733044296
412	0.3731108027
413	0.3727879379
414	0.3725438311
415	0.3722865574
416	0.3720574383
417	0.3717649046
418	0.3717382453
419	0.3715944019
420	0.3714056769
421	0.3710519912
422	0.3709502849
423	0.3708885842
424	0.37074034
425	0.3705013101
426	0.3703015011
427	0.370136965
428	0.3698452353
429	0.3698193621
430	0.3697975801
431	0.3696226911
432	0.3693057696
433	0.368935606
434	0.3686262372
435	0.3683248558
436	0.3680390532
437	0.367894038
438	0.3674578895
439	0.367075635
440	0.3666692544
441	0.366449152
442	0.3661652601
443	0.3656579216
444	0.3652239787
445	0.3646115146
446	0.3644466573
447	0.3642058313
448	0.363984998
449	0.3638164033
450	0.3636941861
451	0.3635698164
452	0.3634799615
453	0.36323242
454	0.3629053597
455	0.3626062057
456	0.3620592812
457	0.3618216672
458	0.3613294546
459	0.3612355868
460	0.3612036292
461	0.3609455058
462	0.3607154684
463	0.360359324
464	0.3600851981
465	0.3598742333
466	0.3595670979
467	0.3593434825
468	0.3590721866
469	0.3588438272
470	0.3587142224
471	0.3586672909
472	0.3586289824
473	0.3585017788
474	0.3584586643
475	0.358283671
476	0.3579335207
477	0.3577102049
478	0.3574684285
479	0.3573032886
480	0.3571745073
481	0.3571566191
482	0.3567898637
483	0.3565888365
484	0.3564838787
485	0.3563003282
486	0.3559625039
487	0.3557359402
488	0.355466063
489	0.355290623
490	0.3551490786
491	0.3549689415
492	0.3547128791
493	0.3545563375
494	0.3542409257
495	0.3540960566
496	0.3539030205
497	0.3537474593
498	0.3535530096
499	0.3534279056
500	0.3532492345
501	0.3530142983
502	0.3526843152
503	0.35244871
504	0.3520387483
505	0.3519643862
506	0.3517411416
507	0.3513563132
508	0.3513276254
509	0.3510809845
510	0.3509129461
511	0.3507048033
512	0.3505558097
513	0.350411412
514	0.3502298431
515	0.3498668046
516	0.3496384504
517	0.3495089048
518	0.349319718
519	0.3491326654
520	0.3490011624
521	0.3487825989
522	0.3487125708
523	0.3484487668
524	0.34836376
525	0.3481294847
526	0.3478146592
527	0.3475295177
528	0.3473495366
529	0.3471485286
530	0.3469492342
531	0.3467673667
532	0.3465560092
533	0.3465179111
534	0.3463824232
535	0.3462703255
536	0.3457089164
537	0.3455356756
538	0.3452690605
539	0.3449469252
540	0.3447109943
541	0.3445376174
542	0.344473945
543	0.3444203488
544	0.3440435409
545	0.3438181222
546	0.3437131284
547	0.3435088209
548	0.3434027792
549	0.3432596209
550	0.3430679119
551	0.3429054084
552	0.3427785487
553	0.34264925
554	0.34244921
555	0.3422387205
556	0.3421478353
557	0.3420541805
558	0.3419876515
559	0.3417466361
560	0.3416558051
561	0.3414088293
562	0.3411828785
563	0.3409846468
564	0.340736376
565	0.3405804507
566	0.3403479166
567	0.3402959169
568	0.3401838331
569	0.3400168712
570	0.3398920579
571	0.339589544
572	0.3394153614
573	0.3393483269
574	0.3391281896
575	0.3389373282
576	0.3388512361
577	0.3385887213
578	0.3384170578
579	0.3383050165
580	0.3381548464
581	0.3380264919
582	0.3380088302
583	0.3377449328
584	0.337523284
585	0.3372903901
586	0.3371994208
587	0.3369446028
588	0.3368689295
589	0.3366678025
590	0.3364706107
591	0.3363619416
592	0.3361289041
593	0.3359941561
594	0.3359086308
595	0.3357075093
596	0.3355464272
597	0.3353763157
598	0.3351773726
599	0.3349315364
600	0.334847612
601	0.3346838719
602	0.3346506866
603	0.334525075
604	0.3343478109
605	0.3341726708
606	0.3340529581
607	0.3339770957
608	0.3338628856
609	0.3336673094
610	0.3333574819
611	0.333184188
612	0.3328104936
613	0.3327271449
614	0.3324695721
615	0.3321591434
616	0.3319975546
617	0.3319338026
618	0.3316182582
619	0.3315684243
620	0.3314264048
621	0.3313212627
622	0.3310333875
623	0.3309085013
624	0.3307157382
625	0.3305302431
626	0.330305089
627	0.3300885588
628	0.3299209582
629	0.3299105482
630	0.3297565939
631	0.3296197534
632	0.3294346612
633	0.3291654252
634	0.3289919263
635	0.3289418249
636	0.3288357567
637	0.3287245555
638	0.3285420801
639	0.3283650782
640	0.328266665
641	0.3282232746
642	0.3281736726
643	0.3279620336
644	0.3279153785
645	0.3277891455
646	0.3276916244
647	0.3275439535
648	0.327379666
649	0.3272941596
650	0.3271319816
651	0.3270409002
652	0.3268727162
653	0.3268085972
654	0.3266146325
655	0.3265029167
656	0.3262695293
657	0.3261524447
658	0.3259450962
659	0.3258402153
660	0.3256663417
661	0.3254129162
662	0.3252188695
663	0.3250573768
664	0.3248716931
665	0.3246885051
666	0.3244107395
667	0.3243265598
668	0.3240795387
669	0.3239234939
670	0.3236767145
671	0.3235734203
672	0.3234718469
673	0.3233937926
674	0.323299917
675	0.323140651
676	0.3230249357
677	0.3228298588
678	0.3224254333
679	0.3223687981
680	0.3222755426
681	0.3221747044
682	0.3220925274
683	0.3218996866
684	0.3217603859
685	0.3216369226
686	0.321509936
687	0.3210985619
688	0.321062774
689	0.3209810454
690	0.3208067235
691	0.3206184687
692	0.3204263689
693	0.3202518858
694	0.3201292316
695	0.3200411211
696	0.3197742191
697	0.3195818449
698	0.3193639611
699	0.3191521993
700	0.31879152
701	0.3185255923
702	0.3184741122
703	0.3183370801
704	0.318046067
705	0.3178104111
706	0.3177820995
707	0.3177109939
708	0.3175902062
709	0.3173315477
710	0.3172447206
711	0.3171354268
712	0.3169782408
713	0.3168935129
714	0.3168470201
715	0.3167573913
716	0.3166927958
717	0.316446348
718	0.3163694594
719	0.3162090335
720	0.3159746466
721	0.3159364601
722	0.3155788839
723	0.315466754
724	0.3154314649
725	0.3152382259
726	0.3150522466
727	0.3148989375
728	0.3146780491
729	0.3144162394
730	0.3143689631
731	0.3142199925
732	0.3138963557
733	0.313704037
734	0.3135922299
735	0.3134864541
736	0.3134092252
737	0.3132224234
738	0.3130173251
739	0.3128701588
740	0.3127722209
741	0.3126665486
742	0.3125458582
743	0.312371134
744	0.3122087029
745	0.3120359784
746	0.3119137937
747	0.3117568783
748	0.3116894859
749	0.3115289213
750	0.3112258479
751	0.3108600537
752	0.310718785
753	0.3103726698
754	0.3101887623
755	0.3100438456
756	0.3098636475
757	0.3097455116
758	0.3096137511
759	0.3094682669
760	0.309300861
761	0.3090751526
762	0.3088936161
763	0.3086826141
764	0.3085054903
765	0.3082595003
766	0.3082044608
767	0.3080937304
768	0.3078472307
769	0.3077562415
770	0.3076635894
771	0.3074664259
772	0.3074144959
773	0.3072938969
774	0.3071603083
775	0.307083188
776	0.3068524797
777	0.3066769301
778	0.306602578
779	0.3064908088
780	0.3063329316
781	0.3061142307
782	0.3060476616
783	0.3058261269
784	0.3056772367
785	0.3055150508
786	0.3054759584
787	0.3052270692
788	0.3051279485
789	0.304954111
790	0.3047887337
791	0.304638418
792	0.3045056393
793	0.3042689011
794	0.3040350547
795	0.3038916424
796	0.3036365614
797	0.3034413054
798	0.3032603654
799	0.3030606378
800	0.3029601749
801	0.3027834852
802	0.3025500374
803	0.3024622136
804	0.3023337392
805	0.3021769316
806	0.3020950657
807	0.3019073505
808	0.3018886659
809	0.3016325612
810	0.3014593618
811	0.3013183265
812	0.3012083973
813	0.3010557215
814	0.3009113831
815	0.3007697226
816	0.3005159014
817	0.30035083
818	0.30021607
819	0.3000616644
820	0.2997979158
821	0.2997255966
822	0.2996838105
823	0.2994372976
824	0.2994028259
825	0.2993441083
826	0.2991899903
827	0.2990046156
828	0.2989545971
829	0.2988128127
830	0.2987719877
831	0.2986870331
832	0.2986023629
833	0.2984637448
834	0.2982785336
835	0.2982228278
836	0.2980688061
837	0.2979582423
838	0.2977908323
839	0.2977459493
840	0.2977130444
841	0.2975740624
842	0.2974189321
843	0.2972239216
844	0.2970940165
845	0.2969533956
846	0.2968245048
847	0.2967171562
848	0.2966405543
849	0.2964796272
850	0.2962451023
851	0.2960955223
852	0.2959426618
853	0.295682776
854	0.295518627
855	0.2954183552
856	0.2953456372
857	0.2952355824
858	0.2951300561
859	0.2949118762
860	0.294800293
861	0.2946195303
862	0.2944945089
863	0.2942003659
864	0.2941811292
865	0.2940385774
866	0.2939764959
867	0.2937952267
868	0.2935667508
869	0.2932881801
870	0.2930857631
871	0.2930279927
872	0.2928940101
873	0.2927801296
874	0.292703061
875	0.2925732739
876	0.2923385434
877	0.2923004752
878	0.2922141192
879	0.2920586703
880	0.2918934201
881	0.291786047
882	0.2915666957
883	0.2913457855
884	0.2912263965
885	0.2910581643
886	0.2909168205
887	0.2907719417
888	0.2905422737
889	0.2904149621
890	0.2903480755
891	0.2902500398
892	0.2900635331
893	0.2899492638
894	0.2898213326
895	0.2896449405
896	0.2895542697
897	0.2894505204
898	0.2891945524
899	0.2891396277
900	0.2889927098
901	0.2888697992
902	0.2886969025
903	0.2885622627
904	0.2884399286
905	0.2883546758
906	0.2883003927
907	0.2881806232
908	0.2879797933
909	0.2878578522
910	0.2876456285
911	0.2874120491
912	0.2873462814
913	0.2871732861
914	0.2869907689
915	0.2868167388
916	0.2866759047
917	0.2866216563
918	0.2865844005
919	0.2863778427
920	0.2861745034
921	0.2860998507
922	0.285863214
923	0.285827166
924	0.2856967123
925	0.2855492982
926	0.2855003137
927	0.2853629638
928	0.2852050957
929	0.2850761622
930	0.2849826222
931	0.2847921238
932	0.2847307792
933	0.284540338
934	0.2843026337
935	0.2842041501
936	0.2839368472
937	0.2837386098
938	0.2835571159
939	0.28347531
940	0.2833021411
941	0.2832226221
942	0.2831041582
943	0.2830505646
944	0.2829037961
945	0.282758287
946	0.2826837717
947	0.2826281667
