iter	Passed	Remaining
0	222	222388
1	266	133191
2	305	101372
3	342	85372
4	361	71849
5	398	66094
6	436	61969
7	475	58925
8	513	56549
9	554	54910
10	596	53654
11	635	52337
12	677	51458
13	720	50738
14	753	49492
15	796	48973
16	811	46912
17	859	46868
18	899	46428
19	937	45913
20	975	45468
21	1002	44573
22	1054	44807
23	1092	44429
24	1135	44287
25	1213	45469
26	1242	44789
27	1284	44585
28	1325	44371
29	1363	44087
30	1400	43783
31	1441	43595
32	1478	43330
33	1516	43091
34	1554	42866
35	1593	42673
36	1632	42488
37	1669	42273
38	1688	41604
39	1728	41495
40	1767	41341
41	1805	41181
42	1847	41111
43	1885	40974
44	1910	40549
45	1947	40388
46	1966	39871
47	2005	39769
48	2044	39685
49	2083	39581
50	2135	39732
51	2149	39196
52	2188	39101
53	2227	39013
54	2265	38932
55	2303	38830
56	2334	38614
57	2374	38569
58	2413	38490
59	2450	38393
60	2490	38344
61	2531	38297
62	2568	38200
63	2593	37928
64	2635	37915
65	2674	37853
66	2712	37766
67	2750	37695
68	2769	37369
69	2782	36963
70	2821	36911
71	2859	36853
72	2897	36793
73	2935	36734
74	2976	36714
75	3018	36693
76	3056	36636
77	3094	36575
78	3134	36544
79	3174	36509
80	3193	36235
81	3212	35962
82	3250	35911
83	3291	35892
84	3331	35867
85	3370	35818
86	3408	35768
87	3448	35737
88	3488	35704
89	3507	35463
90	3519	35155
91	3558	35124
92	3600	35117
93	3643	35114
94	3681	35072
95	3718	35019
96	3759	35000
97	3772	34725
98	3796	34554
99	3833	34505
100	3874	34490
101	3917	34492
102	3925	34188
103	3966	34176
104	4004	34137
105	4044	34110
106	4084	34086
107	4103	33893
108	4141	33857
109	4193	33930
110	4244	33995
111	4258	33764
112	4296	33724
113	4333	33681
114	4347	33453
115	4367	33286
116	4399	33205
117	4437	33171
118	4475	33137
119	4517	33130
120	4555	33096
121	4580	32963
122	4593	32749
123	4631	32719
124	4653	32571
125	4660	32327
126	4698	32297
127	4736	32269
128	4777	32257
129	4819	32250
130	4857	32222
131	4870	32028
132	4908	32000
133	4947	31972
134	4968	31837
135	4976	31612
136	5013	31581
137	5051	31554
138	5076	31445
139	5117	31433
140	5156	31414
141	5193	31380
142	5236	31383
143	5279	31383
144	5304	31275
145	5328	31170
146	5366	31140
147	5380	30975
148	5418	30947
149	5457	30925
150	5495	30899
151	5537	30893
152	5576	30870
153	5615	30850
154	5634	30719
155	5647	30555
156	5686	30534
157	5728	30528
158	5742	30372
159	5780	30348
160	5819	30325
161	5861	30319
162	5898	30286
163	5938	30272
164	5993	30331
165	6031	30304
166	6070	30281
167	6110	30259
168	6137	30180
169	6176	30153
170	6213	30121
171	6256	30118
172	6296	30100
173	6338	30087
174	6376	30060
175	6418	30052
176	6457	30024
177	6476	29907
178	6514	29878
179	6555	29862
180	6599	29860
181	6640	29847
182	6679	29820
183	6704	29733
184	6745	29716
185	6787	29702
186	6824	29671
187	6922	29897
188	7004	30057
189	7044	30031
190	7084	30006
191	7121	29969
192	7149	29896
193	7193	29884
194	7231	29854
195	7271	29827
196	7309	29796
197	7351	29777
198	7391	29750
199	7430	29721
200	7468	29688
201	7508	29662
202	7546	29628
203	7585	29597
204	7629	29589
205	7671	29569
206	7712	29547
207	7760	29547
208	7804	29536
209	7843	29506
210	7882	29473
211	7922	29447
212	7960	29411
213	7999	29379
214	8038	29348
215	8079	29326
216	8117	29290
217	8156	29257
218	8200	29242
219	8239	29211
220	8276	29175
221	8317	29146
222	8366	29152
223	8430	29203
224	8499	29274
225	8566	29339
226	8618	29347
227	8677	29380
228	8731	29398
229	8785	29412
230	8833	29405
231	8878	29389
232	8932	29403
233	8987	29420
234	9036	29415
235	9103	29470
236	9153	29467
237	9196	29445
238	9239	29419
239	9280	29387
240	9319	29350
241	9361	29322
242	9401	29286
243	9439	29247
244	9476	29204
245	9519	29177
246	9561	29149
247	9600	29112
248	9643	29085
249	9683	29049
250	9721	29008
251	9760	28971
252	9799	28934
253	9837	28894
254	9875	28850
255	9915	28815
256	9953	28775
257	9991	28733
258	10028	28691
259	10078	28683
260	10120	28654
261	10166	28636
262	10210	28611
263	10252	28583
264	10293	28549
265	10332	28512
266	10378	28493
267	10417	28453
268	10455	28411
269	10511	28419
270	10556	28397
271	10594	28356
272	10635	28321
273	10674	28284
274	10715	28249
275	10755	28214
276	10799	28187
277	10838	28150
278	10876	28108
279	10918	28075
280	10957	28036
281	10999	28005
282	11037	27965
283	11091	27963
284	11132	27927
285	11170	27887
286	11212	27856
287	11253	27820
288	11290	27777
289	11332	27745
290	11374	27712
291	11413	27673
292	11453	27635
293	11491	27594
294	11531	27557
295	11570	27517
296	11610	27482
297	11651	27447
298	11691	27410
299	11730	27370
300	11768	27328
301	11805	27286
302	11847	27253
303	11886	27212
304	11926	27176
305	11969	27146
306	12008	27107
307	12047	27068
308	12086	27028
309	12126	26991
310	12166	26953
311	12203	26909
312	12240	26867
313	12279	26827
314	12321	26793
315	12359	26753
316	12399	26715
317	12439	26677
318	12480	26643
319	12521	26609
320	12570	26590
321	12631	26596
322	12670	26557
323	12711	26522
324	12752	26486
325	12792	26449
326	12832	26410
327	12871	26370
328	12911	26333
329	12955	26302
330	12993	26261
331	13036	26230
332	13083	26206
333	13125	26172
334	13173	26151
335	13223	26133
336	13269	26105
337	13314	26077
338	13359	26049
339	13401	26014
340	13441	25976
341	13486	25946
342	13533	25922
343	13578	25894
344	13621	25861
345	13665	25829
346	13704	25790
347	13746	25755
348	13788	25720
349	13833	25690
350	13873	25651
351	13914	25615
352	13964	25595
353	14005	25558
354	14043	25516
355	14085	25480
356	14125	25441
357	14164	25401
358	14203	25359
359	14244	25323
360	14282	25280
361	14319	25237
362	14365	25208
363	14406	25171
364	14448	25135
365	14491	25103
366	14533	25068
367	14573	25027
368	14611	24985
369	14653	24949
370	14711	24941
371	14750	24901
372	14789	24860
373	14832	24826
374	14873	24788
375	14912	24747
376	14953	24711
377	15003	24687
378	15044	24650
379	15083	24609
380	15122	24568
381	15163	24532
382	15202	24491
383	15244	24454
384	15293	24429
385	15336	24395
386	15380	24361
387	15426	24332
388	15471	24301
389	15530	24291
390	15574	24257
391	15622	24230
392	15666	24197
393	15709	24162
394	15755	24132
395	15797	24095
396	15839	24057
397	15884	24026
398	15925	23988
399	15968	23952
400	16009	23914
401	16057	23886
402	16099	23849
403	16141	23812
404	16187	23780
405	16231	23747
406	16272	23709
407	16315	23673
408	16359	23638
409	16401	23602
410	16442	23563
411	16483	23525
412	16531	23496
413	16574	23460
414	16620	23429
415	16666	23396
416	16714	23368
417	16784	23369
418	16846	23360
419	16897	23334
420	16965	23332
421	17020	23312
422	17076	23294
423	17127	23267
424	17179	23242
425	17238	23227
426	17285	23195
427	17334	23166
428	17398	23157
429	17448	23128
430	17498	23100
431	17543	23067
432	17597	23043
433	17645	23012
434	17688	22974
435	17734	22940
436	17783	22910
437	17828	22875
438	17879	22848
439	17926	22815
440	17970	22779
441	18013	22741
442	18052	22698
443	18099	22664
444	18140	22624
445	18182	22584
446	18227	22550
447	18268	22509
448	18311	22471
449	18356	22435
450	18449	22458
451	18524	22458
452	18571	22425
453	18618	22391
454	18670	22363
455	18717	22329
456	18761	22292
457	18811	22261
458	18864	22235
459	18927	22219
460	18980	22192
461	19034	22165
462	19080	22130
463	19145	22115
464	19206	22098
465	19258	22068
466	19302	22030
467	19342	21987
468	19380	21942
469	19419	21898
470	19460	21857
471	19499	21813
472	19537	21768
473	19579	21727
474	19620	21685
475	19659	21642
476	19697	21596
477	19737	21554
478	19777	21511
479	19817	21469
480	19856	21425
481	19896	21382
482	19935	21338
483	19973	21294
484	20015	21253
485	20056	21211
486	20094	21166
487	20136	21126
488	20249	21160
489	20323	21152
490	20363	21110
491	20403	21066
492	20442	21023
493	20481	20979
494	20524	20938
495	20563	20894
496	20601	20850
497	20643	20808
498	20683	20766
499	20722	20722
500	20761	20678
501	20805	20639
502	20844	20595
503	20883	20551
504	20924	20510
505	20967	20470
506	21025	20445
507	21067	20404
508	21107	20361
509	21152	20322
510	21195	20282
511	21237	20241
512	21277	20198
513	21318	20157
514	21361	20116
515	21402	20075
516	21444	20034
517	21485	19991
518	21525	19949
519	21563	19904
520	21601	19860
521	21644	19820
522	21683	19776
523	21721	19732
524	21761	19688
525	21802	19647
526	21842	19604
527	21882	19561
528	21923	19519
529	21962	19475
530	22005	19435
531	22048	19395
532	22093	19357
533	22132	19314
534	22174	19273
535	22218	19233
536	22258	19191
537	22298	19148
538	22338	19106
539	22378	19063
540	22417	19019
541	22458	18977
542	22502	18938
543	22547	18899
544	22587	18857
545	22627	18815
546	22670	18774
547	22709	18731
548	22750	18689
549	22792	18648
550	22833	18606
551	22873	18563
552	22914	18521
553	22957	18481
554	22998	18440
555	23038	18397
556	23105	18376
557	23146	18334
558	23191	18296
559	23237	18257
560	23277	18215
561	23315	18171
562	23364	18135
563	23407	18095
564	23450	18055
565	23491	18013
566	23553	17987
567	23599	17948
568	23643	17909
569	23689	17871
570	23732	17830
571	23775	17790
572	23819	17750
573	23859	17707
574	23900	17665
575	23942	17624
576	23984	17583
577	24023	17539
578	24063	17497
579	24102	17453
580	24143	17411
581	24181	17367
582	24220	17324
583	24261	17282
584	24301	17239
585	24339	17195
586	24377	17151
587	24420	17110
588	24458	17067
589	24497	17023
590	24540	16983
591	24581	16941
592	24619	16897
593	24658	16853
594	24699	16812
595	24738	16769
596	24776	16725
597	24815	16682
598	24854	16638
599	24891	16594
600	24932	16552
601	24973	16510
602	25014	16468
603	25052	16425
604	25091	16381
605	25132	16340
606	25176	16300
607	25222	16261
608	25261	16218
609	25302	16176
610	25341	16134
611	25379	16089
612	25416	16045
613	25458	16004
614	25497	15962
615	25537	15919
